=============================================================
Report on testing EasyOCR (2023-01-22 17:25:44.930845):
Accuracy on image num. 351: 96.02%;
Accuracy on image num. 352: 89.91%;
Accuracy on image num. 353: 88.76%;
Accuracy on image num. 354: 94.58%;
Accuracy on image num. 355: 82.97%;
Accuracy on image num. 356: 88.5%;
Accuracy on image num. 357: 88.11%;
Accuracy on image num. 358: 89.4%;
Accuracy on image num. 359: 94.77%;
Accuracy on image num. 360: 90.44%;
Accuracy on image num. 361: 88.87%;
Accuracy on image num. 362: 88.62%;
Accuracy on image num. 363: 86.9%;
Accuracy on image num. 364: 91.7%;
Accuracy on image num. 365: 93.02%;
Accuracy on image num. 366: 87.66%;
Accuracy on image num. 367: 86.42%;
Accuracy on image num. 368: 96.88%;
Accuracy on image num. 369: 87.58%;
Accuracy on image num. 370: 90.3%;
Accuracy on image num. 371: 94.46%;
Accuracy on image num. 372: 96.01%;
Accuracy on image num. 373: 77.43%;
Accuracy on image num. 374: 92.23%;
Accuracy on image num. 375: 89.95%;
Accuracy on image num. 376: 96.36%;
Accuracy on image num. 377: 93.61%;
Accuracy on image num. 378: 91.42%;
Accuracy on image num. 379: 93.53%;
Accuracy on image num. 380: 93.01%;
Accuracy on image num. 381: 92.26%;
Accuracy on image num. 382: 95.9%;
Accuracy on image num. 383: 90.38%;
Accuracy on image num. 384: 83.03%;
Accuracy on image num. 385: 81.75%;
Accuracy on image num. 386: 91.5%;
Accuracy on image num. 387: 94.8%;
Accuracy on image num. 388: 91.51%;
Accuracy on image num. 389: 90.2%;
Accuracy on image num. 390: 81.99%;
Accuracy on image num. 391: 81.77%;
Accuracy on image num. 392: 92.09%;
Accuracy on image num. 393: 92.33%;
Accuracy on image num. 394: 84.17%;
Accuracy on image num. 395: 81.9%;
Accuracy on image num. 396: 89.54%;
Accuracy on image num. 397: 93.51%;
Accuracy on image num. 398: 97.06%;
Accuracy on image num. 399: 93.94%;
Accuracy on image num. 400: 79.24%;
Accuracy on image num. 401: 93.22%;
Accuracy on image num. 402: 91.59%;
Accuracy on image num. 403: 89.28%;
Accuracy on image num. 404: 91.95%;
Accuracy on image num. 405: 88.15%;
Accuracy on image num. 406: 93.28%;
Accuracy on image num. 407: 77.08%;
Accuracy on image num. 408: 91.88%;
Accuracy on image num. 409: 92.84%;
Accuracy on image num. 410: 87.74%;
Accuracy on image num. 411: 93.38%;
Accuracy on image num. 412: 89.72%;
Accuracy on image num. 413: 78.51%;
Accuracy on image num. 414: 97.32%;
Accuracy on image num. 415: 89.87%;
Accuracy on image num. 416: 81.86%;
Accuracy on image num. 417: 90.9%;
Accuracy on image num. 418: 92.85%;
Accuracy on image num. 419: 91.35%;
Accuracy on image num. 420: 94.59%;
Accuracy on image num. 421: 98.86%;
Accuracy on image num. 422: 95.85%;
Empty picture found on image num.423;
